sid,school_year,grade_level,frpl
137,2004,7,F
137,2005,8,F
137,2006,9,F
138,2001,4,F
138,2002,5,F
138,2003,6,R
138,2003,5,R
138,2004,7,F
138,2005,8,F
138,2006,9,F
138,2007,10,F
139,2001,4,N
139,2002,5,N
139,2003,6,N
140,2001,3,F
140,2002,4,F
140,2003,5,F
140,2004,6,F
140,2005,7,F
140,2006,8,R
140,2007,9,R
142,2003,5,F
143,2001,3,F
143,2002,4,F
143,2003,5,F
143,2004,6,F
143,2005,7,F
143,2006,8,F
143,2007,9,F
144,2001,3,F
144,2002,4,F
144,2003,5,F
144,2004,6,F
144,2005,7,N
144,2006,8,N
144,2007,9,F
146,2003,3,N
147,2002,3,F
147,2003,3,F
147,2004,4,F
147,2005,5,F
147,2006,6,F
147,2007,7,F
148,2007,8,F
149,2003,4,F
149,2004,5,F
149,2005,6,F
151,2003,3,F
151,2004,4,F
151,2005,5,N
151,2006,6,N
151,2007,7,F
152,2004,3,F
152,2005,4,F
152,2006,5,R
152,2007,6,F
153,2005,3,F
153,2006,4,F
153,2007,5,F
154,2005,4,R
154,2006,5,F
155,2005,3,N
155,2006,4,N
155,2007,5,N
156,2005,3,F
156,2006,4,F
156,2007,5,F
157,2005,3,F
157,2006,4,F
157,2007,5,R
159,2006,3,F
159,2007,4,R
160,2006,3,F
160,2007,4,F
161,2007,3,N
162,2007,3,R
166,2001,12,N
167,2001,11,F
167,2002,12,F
168,2001,10,F
168,2002,11,F
168,2003,12,R
169,2001,11,F
169,2002,12,F
169,2003,12,N
170,2002,11,N
170,2003,12,N
172,2001,9,F
172,2002,10,N
172,2003,11,R
172,2004,12,N
173,2001,9,F
173,2002,10,F
173,2003,11,F
173,2004,12,F
174,2001,8,F
174,2001,9,F
174,2002,9,F
174,2002,10,F
174,2003,11,F
174,2004,12,F
176,2001,8,R
176,2002,9,F
176,2003,10,F
176,2004,11,F
177,2001,8,F
177,2002,9,N
178,2001,8,R
178,2002,9,F
178,2003,10,F
178,2004,11,F
180,2001,7,F
180,2002,8,F
180,2003,9,F
180,2004,10,F
180,2005,11,F
181,2001,7,F
181,2002,8,F
181,2003,9,R
181,2004,10,F
181,2005,11,F
181,2006,12,R
182,2001,7,F
182,2002,8,F
182,2003,9,F
184,2001,6,F
184,2002,7,R
184,2003,8,F
184,2004,9,F
184,2005,10,F
184,2007,12,F
185,2001,7,F
185,2002,8,R
185,2003,9,N
185,2004,10,N
185,2005,11,N
185,2006,12,N
186,2001,6,N
186,2002,7,F
186,2004,9,N
186,2005,10,N
187,2001,6,F
187,2007,12,F
189,2002,5,R
190,2001,5,F
190,2002,6,F
190,2003,7,F
190,2004,8,F
190,2005,9,F
190,2006,10,N
190,2007,11,F
191,2001,5,F
191,2002,6,F
191,2003,7,F
191,2004,8,F
191,2005,9,F
192,2001,4,F
192,2002,5,R
192,2004,7,F
192,2005,8,N
192,2006,9,N
192,2007,10,R
193,2007,10,F
195,2001,4,F
195,2002,5,F
195,2003,6,F
195,2004,7,F
195,2005,8,R
195,2006,9,F
195,2007,10,F
196,2001,3,F
196,2002,4,F
196,2003,5,F
196,2004,6,F
196,2005,7,F
196,2006,8,R
196,2007,9,F
197,2001,3,F
197,2002,4,F
198,2001,3,R
198,2002,4,F
198,2003,5,R
198,2004,6,F
198,2005,7,N
198,2006,8,N
198,2007,9,F
200,2001,3,F
200,2002,4,R
200,2003,4,F
201,2002,3,F
201,2003,4,R
201,2004,5,N
201,2005,6,F
201,2006,7,F
201,2007,8,F
202,2002,3,F
203,2002,3,N
203,2003,4,N
203,2004,5,N
203,2005,6,N
203,2006,7,N
203,2007,8,N
205,2003,3,F
205,2004,4,F
205,2005,5,F
205,2006,6,F
205,2007,7,F
206,2003,3,F
207,2004,3,N
207,2005,4,N
207,2006,5,N
207,2007,6,N
209,2004,3,N
209,2005,4,N
209,2006,5,N
209,2007,6,N
210,2005,3,R
210,2006,4,N
210,2007,5,F
211,2005,3,F
211,2006,4,F
211,2007,5,F
212,2005,3,R
214,2007,3,R
215,2007,3,R
216,2007,3,F
218,2007,2,N
218,2007,3,N
221,2001,12,R
223,2001,11,R
223,2002,12,R
224,2001,11,R
224,2002,12,F
225,2001,10,N
226,2001,10,F
226,2002,11,F
226,2003,12,F
228,2001,9,N
228,2002,10,N
228,2003,11,N
228,2004,12,N
229,2003,9,F
229,2004,9,R
230,2001,10,N
230,2002,11,N
230,2003,12,N
231,2001,8,R
231,2002,9,R
231,2003,10,N
231,2004,11,F
231,2005,12,N
232,2001,9,F
232,2002,10,F
232,2003,11,F
232,2004,12,R
234,2003,10,N
235,2001,7,F
235,2002,8,N
236,2002,8,F
236,2003,9,R
236,2004,10,F
236,2005,11,F
236,2006,12,F
237,2001,8,N
237,2002,9,N
237,2003,9,N
237,2004,10,N
237,2005,11,N
237,2006,12,F
238,2001,6,R
238,2005,10,R
238,2006,11,F
238,2007,12,F
239,2001,6,R
239,2002,7,N
239,2003,8,R
239,2004,9,F
239,2005,10,R
239,2006,11,R
239,2007,11,F
241,2002,7,F
241,2003,8,F
241,2004,9,F
241,2005,10,R
241,2006,11,N
242,2001,5,R
242,2002,6,R
242,2003,7,R
242,2004,8,F
242,2005,9,F
242,2006,10,R
242,2007,11,R
243,2001,5,F
243,2002,6,F
243,2003,7,N
244,2001,5,F
244,2002,6,F
244,2003,7,R
244,2004,8,F
244,2005,9,F
244,2006,10,F
244,2007,11,N
245,2001,6,N
245,2002,7,N
245,2003,8,N
247,2001,4,F
247,2002,5,F
247,2003,6,R
248,2001,4,F
248,2002,5,F
248,2003,6,F
248,2004,7,F
248,2005,8,R
248,2006,9,F
248,2007,10,N
249,2001,4,F
249,2002,5,F
249,2003,6,R
249,2004,7,F
249,2005,8,R
249,2006,9,N
249,2007,10,N
251,2001,3,F
252,2004,6,N
252,2005,7,F
252,2006,8,F
252,2007,9,F
253,2001,3,F
253,2002,4,R
253,2003,5,F
253,2004,6,F
253,2005,7,F
253,2006,8,F
253,2007,9,F
254,2001,3,R
254,2002,4,F
254,2004,6,F
254,2005,7,R
254,2006,8,F
254,2007,9,F
256,2002,3,F
256,2003,4,F
257,2002,3,F
257,2003,4,F
257,2004,5,F
257,2005,6,F
257,2006,7,N
257,2007,8,F
258,2007,8,N
259,2002,3,N
259,2003,4,R
259,2004,5,R
259,2005,6,F
260,2003,3,R
260,2004,4,N
260,2005,5,N
260,2006,6,F
260,2007,7,R
262,2004,3,N
262,2005,4,N
262,2006,5,N
262,2007,6,N
263,2004,3,N
263,2005,4,R
263,2006,5,F
264,2004,3,F
264,2005,4,F
264,2006,5,F
264,2007,6,R
265,2004,3,F
265,2005,4,R
265,2006,5,F
265,2007,6,F
266,2007,5,F
268,2005,3,F
268,2006,4,F
268,2007,5,R
269,2006,3,N
269,2007,4,F
270,2006,3,F
270,2007,4,F
272,2007,3,F
273,2007,3,F
276,2001,12,N
277,2001,10,N
277,2002,11,N
277,2003,12,F
278,2001,11,F
278,2002,11,R
278,2003,12,F
280,2001,10,F
280,2002,11,F
281,2001,10,F
281,2002,11,F
281,2003,12,R
282,2001,9,F
282,2003,11,F
282,2004,12,N
283,2001,8,N
283,2002,9,N
283,2003,10,N
283,2004,11,N
283,2005,12,N
284,2001,9,R
284,2002,10,F
284,2003,10,N
284,2004,11,F
284,2005,12,F
285,2001,8,F
285,2002,9,F
285,2003,10,R
285,2005,12,F
287,2001,8,N
287,2002,9,N
287,2003,10,N
287,2004,11,N
287,2005,12,N
288,2003,10,F
288,2004,10,N
288,2005,12,F
289,2001,7,F
289,2002,8,N
289,2003,9,N
289,2004,10,F
289,2005,11,F
289,2006,12,F
290,2002,9,N
291,2001,7,F
291,2003,9,R
291,2004,10,F
291,2005,10,N
293,2001,6,F
293,2002,7,F
293,2004,9,F
293,2006,9,F
293,2007,9,F
294,2001,5,F
294,2002,6,F
294,2003,7,F
294,2005,9,F
294,2006,10,N
295,2001,6,F
295,2002,7,R
295,2003,8,F
295,2004,9,F
295,2005,10,R
295,2006,11,F
295,2007,12,F
297,2001,5,F
297,2002,6,F
297,2003,7,F
297,2004,8,R
297,2005,9,F
298,2001,5,N
298,2002,6,N
298,2003,7,N
298,2005,9,N
298,2006,10,N
298,2007,11,N
299,2001,5,R
299,2002,6,F
299,2003,7,N
299,2004,8,F
300,2001,5,F
300,2002,6,F
300,2003,7,R
300,2004,8,F
300,2005,9,F
300,2006,10,F
300,2007,11,F
301,2006,10,F
301,2007,10,N
303,2004,7,R
303,2005,8,F
304,2001,4,F
304,2002,5,F
304,2003,6,N
304,2004,7,N
304,2005,8,R
304,2006,9,N
304,2007,10,F
305,2001,4,N
305,2002,5,N
305,2003,6,N
306,2001,3,F
306,2002,4,F
306,2003,5,F
306,2004,6,F
306,2005,7,F
306,2007,9,R
307,2001,3,F
309,2002,3,N
309,2003,4,N
309,2004,5,N
309,2005,6,N
309,2006,7,N
309,2007,8,F
310,2002,3,N
310,2003,4,N
310,2004,5,N
310,2005,6,N
310,2006,7,N
311,2002,3,N
311,2003,4,N
311,2004,5,N
311,2005,6,N
311,2006,7,N
311,2007,8,N
312,2002,3,F
312,2003,4,F
312,2004,5,F
312,2005,6,N
312,2006,7,N
312,2007,8,F
313,2003,3,R
313,2004,4,F
313,2005,5,F
313,2006,6,N
313,2007,7,R
315,2003,3,F
315,2004,4,F
315,2005,5,F
315,2006,6,F
315,2007,7,R
316,2003,3,F
316,2004,4,F
316,2005,5,F
316,2006,6,F
316,2007,7,F
317,2003,3,F
317,2004,4,F
317,2005,5,R
317,2006,6,F
317,2007,7,F
318,2004,3,N
318,2005,4,N
318,2006,5,N
318,2007,6,N
319,2004,3,F
319,2005,4,F
319,2006,5,N
319,2007,6,F
320,2004,3,N
320,2005,4,N
320,2006,5,N
320,2007,6,N
321,2005,3,R
321,2006,4,F
323,2005,3,N
323,2006,4,N
323,2007,5,F
324,2007,4,F
325,2006,3,N
326,2006,3,N
326,2007,4,N
327,2007,3,N
331,2001,11,F
332,2001,12,N
333,2001,11,N
333,2002,12,N
335,2002,11,F
335,2003,12,F
336,2001,11,N
336,2002,12,N
337,2001,10,F
337,2002,11,N
337,2003,12,F
338,2001,11,N
338,2002,12,N
339,2001,9,F
339,2002,10,N
339,2003,11,N
339,2004,12,N
340,2001,9,F
340,2002,10,F
340,2003,10,F
340,2004,10,F
341,2001,9,F
341,2002,10,N
341,2003,11,N
341,2004,12,F
342,2001,8,N
342,2002,9,N
343,2001,8,F
343,2002,9,N
343,2003,10,N
343,2004,10,N
343,2005,11,N
345,2001,6,F
345,2002,7,F
345,2003,8,F
345,2004,9,F
345,2005,10,N
345,2006,11,N
345,2007,12,N
346,2001,7,N
346,2002,8,N
346,2003,9,F
346,2004,10,N
346,2005,11,N
346,2006,12,N
347,2001,7,F
347,2002,8,F
347,2003,9,R
347,2004,10,F
347,2005,11,F
348,2001,7,F
348,2002,8,F
348,2003,9,F
348,2004,10,F
348,2005,11,R
348,2006,12,F
350,2001,6,F
350,2002,7,F
350,2003,8,F
350,2004,9,F
351,2001,6,F
351,2002,7,F
351,2006,10,R
351,2007,11,R
352,2001,6,F
352,2002,7,R
352,2005,10,F
352,2006,11,R
352,2007,12,F
354,2001,5,F
354,2002,6,F
354,2003,7,R
354,2004,8,F
354,2005,9,N
354,2007,10,N
355,2001,5,N
356,2001,5,F
356,2002,6,F
356,2003,7,F
356,2004,8,F
356,2005,9,F
356,2006,10,F
356,2007,10,F
357,2001,5,F
357,2002,6,F
357,2003,7,F
357,2004,8,F
357,2005,9,F
357,2006,10,R
357,2007,11,F
358,2001,4,N
358,2002,5,N
358,2003,6,N
358,2004,7,N
358,2005,8,N
358,2006,9,N
359,2002,5,F
359,2003,6,F
359,2004,7,F
359,2005,8,R
359,2006,9,F
359,2007,10,F
361,2006,9,F
361,2007,10,F
362,2001,3,R
362,2002,4,F
362,2003,5,F
362,2004,6,N
362,2005,7,N
362,2006,8,N
362,2007,9,N
363,2001,3,F
363,2002,4,F
363,2003,5,F
363,2004,6,F
363,2005,7,N
363,2006,8,N
363,2007,9,F
364,2001,3,R
364,2002,4,F
364,2003,5,F
364,2004,6,F
364,2005,7,N
364,2006,8,R
364,2007,9,N
365,2001,3,F
365,2002,4,R
365,2003,5,F
365,2004,6,F
365,2005,7,N
365,2006,8,N
365,2007,9,F
366,2002,3,N
366,2003,4,N
366,2004,5,N
366,2005,6,N
366,2006,7,N
366,2007,8,N
367,2002,3,N
367,2003,4,N
367,2004,5,N
367,2005,6,N
367,2006,7,N
367,2007,8,F
368,2003,3,F
368,2004,4,F
368,2005,5,F
368,2006,6,F
368,2007,8,F
370,2003,3,F
370,2004,4,F
370,2005,5,N
370,2006,6,N
370,2007,7,F
371,2003,3,F
371,2004,4,F
372,2003,3,F
372,2004,4,R
372,2005,5,F
372,2006,6,F
372,2007,7,F
373,2004,3,N
373,2005,4,N
373,2006,5,N
373,2007,6,N
374,2005,3,F
374,2006,4,R
374,2007,5,F
376,2005,3,F
376,2006,4,N
376,2007,5,F
377,2005,3,F
377,2006,4,F
377,2007,5,F
378,2005,3,N
378,2006,4,N
378,2007,5,N
380,2006,3,F
380,2007,4,F
381,2007,3,N
382,2007,3,F
383,2007,3,N
387,2001,12,F
388,2001,11,N
388,2002,12,N
389,2001,11,F
389,2002,12,F
390,2001,10,F
390,2002,11,R
390,2003,11,R
391,2001,10,R
391,2002,11,F
391,2003,12,F
393,2001,9,F
393,2002,10,F
394,2001,9,F
395,2001,9,F
396,2001,8,F
396,2002,9,N
396,2005,12,F
397,2001,8,N
397,2002,9,N
397,2003,10,N
397,2004,11,N
397,2005,12,N
398,2001,8,F
398,2002,9,N
398,2003,10,N
398,2004,11,N
398,2005,12,N
399,2001,8,F
399,2002,9,F
401,2001,7,F
401,2002,8,F
401,2003,9,F
401,2004,10,F
401,2005,11,F
401,2006,11,F
401,2007,12,F
402,2001,7,F
402,2002,8,F
402,2003,9,F
403,2005,10,N
403,2006,11,N
403,2007,12,N
405,2001,6,N
405,2002,7,R
405,2003,8,R
405,2004,9,F
406,2001,6,F
406,2002,7,R
406,2003,8,F
406,2004,9,F
406,2005,10,F
406,2006,11,F
406,2007,11,F
407,2001,5,F
407,2002,6,R
407,2003,7,R
407,2004,8,F
407,2005,9,F
407,2006,10,R
407,2007,11,F
408,2001,5,R
410,2004,7,F
410,2005,8,F
410,2006,9,F
410,2007,10,F
411,2001,3,F
412,2001,4,N
412,2002,5,N
412,2003,6,N
412,2004,7,N
412,2005,8,N
412,2006,9,N
412,2007,10,N
413,2001,4,F
413,2002,5,F
413,2003,6,F
414,2001,3,F
414,2002,4,F
414,2003,5,F
414,2004,6,F
414,2005,7,F
414,2006,8,F
414,2007,9,R
415,2001,3,N
415,2002,4,N
415,2003,5,N
415,2004,6,N
417,2001,3,R
417,2002,4,R
417,2003,5,F
417,2004,6,F
417,2005,7,R
417,2006,8,F
417,2007,9,F
418,2002,3,F
418,2003,4,F
418,2004,5,F
418,2005,6,F
418,2006,7,F
418,2007,8,F
419,2002,3,R
419,2003,4,F
419,2004,5,F
419,2005,6,F
419,2006,7,F
419,2007,8,F
421,2005,6,F
421,2006,7,F
421,2007,8,F
422,2003,3,F
422,2004,4,F
422,2005,5,R
422,2006,6,R
423,2007,8,N
424,2003,3,N
424,2004,4,N
424,2005,5,N
425,2005,5,N
425,2006,6,F
425,2007,7,R
426,2004,3,R
426,2005,4,N
426,2006,5,N
426,2007,6,N
428,2004,3,N
428,2005,4,N
428,2006,5,N
428,2007,6,N
429,2005,3,R
429,2006,4,N
430,2005,3,F
430,2006,4,F
430,2007,5,R
432,2006,3,N
432,2007,4,N
433,2006,3,F
433,2007,4,F
434,2006,3,N
434,2007,4,F
435,2007,3,F
439,2001,12,R
440,2001,12,F
441,2001,10,N
441,2002,11,N
443,2001,10,F
443,2002,11,F
443,2003,12,F
444,2001,10,F
445,2001,10,F
447,2001,10,N
447,2002,11,N
447,2003,12,N
448,2001,9,F
448,2002,10,F
448,2003,11,F
448,2004,12,F
449,2001,8,F
449,2002,9,F
450,2001,8,N
450,2002,9,N
450,2003,10,N
450,2004,11,N
450,2005,12,N
451,2001,8,F
451,2002,9,F
452,2001,8,F
452,2002,9,F
452,2003,10,N
452,2004,11,F
453,2001,7,N
453,2002,8,N
453,2003,9,N
455,2002,8,F
455,2003,9,F
455,2004,10,F
455,2005,11,F
455,2006,11,R
455,2007,11,N
456,2005,10,F
456,2006,11,R
456,2007,12,F
457,2002,7,N
457,2003,8,N
457,2004,9,N
457,2006,11,N
457,2007,12,N
458,2001,5,R
458,2002,6,F
458,2003,7,N
458,2005,9,R
458,2006,10,R
459,2001,6,R
459,2002,7,F
459,2003,8,R
459,2004,9,F
459,2005,10,F
459,2006,11,F
459,2007,12,F
461,2002,6,F
461,2003,7,F
461,2004,8,F
462,2001,5,F
462,2002,6,F
462,2003,7,F
462,2004,8,F
462,2005,9,R
462,2006,10,R
462,2007,11,F
463,2001,4,R
463,2002,5,F
463,2003,6,F
463,2004,7,F
463,2005,8,N
463,2006,9,F
463,2007,10,R
465,2007,8,F
466,2001,4,F
466,2002,5,R
466,2003,6,N
467,2001,4,F
467,2004,7,F
467,2005,8,F
467,2006,9,N
467,2007,10,N
468,2001,3,F
468,2002,4,R
468,2003,5,R
468,2004,6,R
468,2005,7,R
468,2006,8,R
468,2007,9,F
470,2001,3,F
470,2002,4,F
470,2003,5,R
470,2004,6,F
471,2004,6,N
471,2005,7,N
471,2006,8,N
471,2007,9,F
472,2002,3,F
472,2003,4,R
472,2004,5,F
472,2005,6,R
472,2006,7,F
472,2007,8,F
473,2002,3,F
473,2003,4,F
473,2004,5,F
473,2005,6,F
473,2006,7,F
473,2007,8,R
474,2002,3,F
474,2003,4,N
476,2003,3,F
476,2004,4,F
476,2005,5,F
476,2006,6,R
476,2007,7,F
477,2003,3,F
477,2004,4,F
477,2005,5,F
477,2006,6,F
477,2007,7,F
478,2003,3,F
478,2004,4,F
478,2005,5,F
478,2006,6,F
478,2007,7,F
480,2006,6,F
480,2007,7,R
481,2007,6,F
482,2005,3,N
483,2005,3,F
485,2006,3,F
485,2007,4,F
486,2006,3,N
486,2007,4,N
487,2006,3,F
487,2007,4,F
488,2007,3,R
489,2007,3,F
493,2001,12,R
495,2001,11,F
496,2001,10,N
497,2001,10,F
497,2002,11,N
497,2003,11,N
499,2001,10,F
499,2002,11,F
499,2003,12,F
500,2001,9,N
500,2002,10,N
500,2003,11,F
500,2004,12,N
501,2001,9,F
501,2002,10,F
501,2003,11,F
501,2004,12,F
502,2001,9,F
502,2002,10,F
502,2003,11,R
502,2004,12,F
503,2001,8,R
503,2002,9,F
503,2003,10,R
503,2004,11,F
503,2005,12,N
504,2001,8,F
504,2002,9,F
504,2003,10,N
504,2004,11,N
504,2005,12,N
505,2001,8,F
505,2002,9,F
505,2003,10,N
505,2004,11,F
505,2005,12,N
506,2001,8,N
506,2002,9,N
508,2004,10,F
508,2005,11,F
508,2006,12,R
509,2001,7,F
509,2002,8,F
509,2003,9,N
509,2004,10,R
509,2005,11,R
509,2006,11,N
510,2001,7,F
510,2002,8,F
510,2003,9,F
510,2004,10,F
510,2005,11,F
510,2006,12,R
511,2001,6,F
511,2002,7,F
511,2003,8,F
511,2004,9,F
511,2005,9,N
511,2006,9,F
513,2002,7,F
513,2003,8,F
513,2004,9,N
513,2005,10,R
513,2006,11,F
513,2007,11,F
514,2001,5,N
514,2002,6,N
514,2003,7,N
514,2004,8,N
514,2005,9,N
515,2002,6,N
515,2003,7,F
515,2004,8,F
515,2005,9,N
515,2006,10,F
515,2007,11,R
516,2001,5,F
516,2002,6,F
516,2003,7,F
516,2004,8,F
516,2005,9,N
516,2006,10,N
516,2007,11,F
517,2001,5,F
517,2002,6,F
517,2003,7,F
517,2004,8,F
517,2005,9,F
517,2006,10,F
517,2007,11,F
518,2001,4,R
518,2002,5,F
518,2003,6,F
519,2001,4,F
519,2002,5,F
519,2003,6,F
519,2004,7,F
520,2007,10,N
522,2004,7,R
522,2005,8,F
522,2006,9,F
522,2007,10,N
523,2001,3,R
523,2002,4,F
523,2003,5,N
523,2004,6,R
523,2005,7,F
523,2006,8,F
523,2007,9,F
524,2002,5,N
525,2001,3,R
525,2002,4,F
525,2003,5,R
525,2004,6,F
525,2005,7,R
525,2006,8,F
525,2007,9,F
526,2001,3,F
526,2004,6,F
526,2005,7,F
526,2006,8,F
526,2007,9,N
527,2004,5,F
529,2002,3,N
529,2003,4,R
530,2005,6,F
530,2006,7,R
530,2007,8,F
531,2003,3,F
531,2004,4,R
531,2005,5,F
532,2003,3,F
532,2004,4,F
532,2005,5,R
532,2006,6,F
532,2007,7,F
534,2004,3,R
534,2005,4,F
534,2006,5,F
534,2007,6,F
535,2004,3,F
535,2005,4,F
535,2006,5,R
535,2007,6,R
536,2004,3,F
536,2005,4,F
536,2006,5,N
536,2007,6,F
538,2005,3,F
538,2006,4,F
538,2007,5,F
539,2005,3,F
539,2006,4,N
539,2007,5,F
540,2006,3,R
540,2007,4,R
541,2006,3,F
543,2007,3,F
544,2007,3,N
545,2007,3,R
547,2001,12,F
548,2001,12,R
549,2001,11,R
549,2002,11,R
550,2001,10,F
550,2002,11,N
550,2003,12,R
552,2001,10,F
552,2002,11,N
552,2003,12,N
553,2001,10,F
553,2002,11,F
