sid,school_year,grade_level,ever_frpl
78,2002,6,1
78,2003,7,1
78,2004,8,1
78,2005,9,1
78,2006,10,1
78,2007,11,1
79,2002,6,1
79,2007,11,1
81,2007,11,1
82,2001,4,1
82,2002,5,1
82,2003,6,1
82,2004,7,1
82,2005,8,1
82,2006,9,1
82,2007,10,1
83,2003,6,0
83,2004,7,0
83,2005,8,0
83,2006,9,0
83,2007,10,0
84,2001,3,1
84,2002,4,1
84,2003,5,1
84,2004,6,1
84,2005,7,1
84,2006,8,1
84,2007,9,1
86,2001,3,1
86,2002,4,1
86,2003,5,1
86,2004,6,1
86,2005,7,1
86,2006,8,1
86,2007,9,1
87,2003,5,0
88,2002,3,1
88,2003,4,1
88,2004,5,1
88,2005,6,1
88,2006,7,1
88,2007,8,1
89,2002,3,0
90,2002,3,1
90,2003,4,1
92,2003,3,0
92,2004,4,0
92,2005,5,0
92,2006,6,0
92,2007,7,0
93,2003,3,1
94,2003,3,1
94,2004,4,1
94,2005,5,1
94,2006,6,1
94,2007,7,1
96,2004,3,1
96,2005,4,1
96,2006,5,1
96,2007,6,1
97,2005,3,1
97,2006,4,1
97,2007,5,1
98,2005,3,1
98,2006,4,1
98,2007,5,1
99,2005,3,1
99,2006,4,1
99,2007,5,1
100,2005,3,0
100,2006,4,0
100,2007,5,0
102,2006,3,0
102,2007,4,0
103,2006,3,1
103,2007,4,1
104,2007,3,1
105,2007,3,1
109,2001,10,1
110,2001,12,1
111,2001,11,1
111,2002,12,1
112,2001,11,1
112,2002,12,1
113,2001,10,0
113,2002,11,0
113,2003,12,0
115,2001,10,0
115,2002,11,0
115,2003,12,0
116,2001,9,1
116,2002,10,1
116,2003,11,1
116,2004,11,1
117,2001,9,1
117,2002,10,1
117,2003,10,1
117,2004,10,1
118,2003,10,1
118,2004,10,1
119,2001,9,1
121,2003,10,0
122,2001,8,1
123,2004,10,1
124,2001,7,1
124,2002,8,1
124,2003,9,1
124,2004,10,1
124,2005,11,1
124,2006,12,1
125,2001,6,1
125,2002,7,1
125,2005,10,1
125,2006,11,1
125,2007,12,1
127,2001,7,1
127,2002,8,1
127,2003,9,1
127,2004,10,1
127,2005,11,1
127,2006,12,1
128,2001,6,1
128,2002,7,1
128,2003,8,1
128,2004,9,1
128,2005,10,1
128,2006,10,1
129,2005,10,0
130,2001,6,1
130,2002,7,1
130,2003,8,1
130,2004,9,1
130,2005,10,1
130,2006,10,1
130,2007,11,1
132,2001,5,1
132,2002,6,1
132,2003,7,1
132,2004,8,1
132,2005,9,1
132,2006,10,1
132,2007,11,1
133,2001,5,0
133,2002,6,0
134,2001,5,1
134,2002,6,1
134,2003,7,1
134,2004,8,1
134,2005,9,1
135,2005,7,0
135,2006,9,0
135,2007,10,0
137,2003,6,1
137,2004,7,1
137,2005,8,1
137,2006,9,1
138,2001,4,1
138,2002,5,1
138,2003,6,1
138,2004,7,1
138,2005,8,1
138,2006,9,1
138,2007,10,1
139,2001,4,0
139,2002,5,0
139,2003,6,0
140,2001,3,1
140,2002,4,1
140,2003,5,1
140,2004,6,1
140,2005,7,1
140,2006,8,1
140,2007,9,1
142,2003,5,1
143,2001,3,1
143,2002,4,1
143,2003,5,1
143,2004,6,1
143,2005,7,1
143,2006,8,1
143,2007,9,1
144,2001,3,1
144,2002,4,1
144,2003,5,1
144,2004,6,1
144,2005,7,1
144,2006,8,1
144,2007,9,1
146,2003,3,0
147,2002,3,1
147,2003,3,1
147,2004,4,1
147,2005,5,1
147,2006,6,1
147,2007,7,1
148,2007,8,1
149,2003,4,1
149,2004,5,1
149,2005,6,1
151,2003,3,1
151,2004,4,1
151,2005,5,1
151,2006,6,1
151,2007,7,1
152,2004,3,1
152,2005,4,1
152,2006,5,1
152,2007,6,1
153,2005,3,1
153,2006,4,1
153,2007,5,1
154,2005,4,1
154,2006,5,1
155,2005,3,0
155,2006,4,0
155,2007,5,0
156,2005,3,1
156,2006,4,1
156,2007,5,1
157,2005,3,1
157,2006,4,1
157,2007,5,1
159,2006,3,1
159,2007,4,1
160,2006,3,1
160,2007,4,1
161,2007,3,0
162,2007,3,1
166,2001,12,0
167,2001,11,1
167,2002,12,1
168,2001,10,1
168,2002,11,1
168,2003,12,1
169,2001,11,1
169,2002,12,1
169,2003,12,1
170,2002,11,0
170,2003,12,0
172,2001,9,1
172,2002,10,1
172,2003,11,1
172,2004,12,1
173,2001,9,1
173,2002,10,1
173,2003,11,1
173,2004,12,1
174,2001,9,1
174,2002,10,1
174,2003,11,1
174,2004,12,1
176,2001,8,1
176,2002,9,1
176,2003,10,1
176,2004,11,1
177,2001,8,1
177,2002,9,1
178,2001,8,1
178,2002,9,1
178,2003,10,1
178,2004,11,1
180,2001,7,1
180,2002,8,1
180,2003,9,1
180,2004,10,1
180,2005,11,1
181,2001,7,1
181,2002,8,1
181,2003,9,1
181,2004,10,1
181,2005,11,1
181,2006,12,1
182,2001,7,1
182,2002,8,1
182,2003,9,1
184,2001,6,1
184,2002,7,1
184,2003,8,1
184,2004,9,1
184,2005,10,1
184,2007,12,1
185,2001,7,1
185,2002,8,1
185,2003,9,1
185,2004,10,1
185,2005,11,1
185,2006,12,1
186,2001,6,1
186,2002,7,1
186,2004,9,1
186,2005,10,1
187,2001,6,1
187,2007,12,1
189,2002,5,1
190,2001,5,1
190,2002,6,1
190,2003,7,1
190,2004,8,1
190,2005,9,1
190,2006,10,1
190,2007,11,1
191,2001,5,1
191,2002,6,1
191,2003,7,1
191,2004,8,1
191,2005,9,1
192,2001,4,1
192,2002,5,1
192,2004,7,1
192,2005,8,1
192,2006,9,1
192,2007,10,1
193,2007,10,1
195,2001,4,1
195,2002,5,1
195,2003,6,1
195,2004,7,1
195,2005,8,1
195,2006,9,1
195,2007,10,1
196,2001,3,1
196,2002,4,1
196,2003,5,1
196,2004,6,1
196,2005,7,1
196,2006,8,1
196,2007,9,1
197,2001,3,1
197,2002,4,1
198,2001,3,1
198,2002,4,1
198,2003,5,1
198,2004,6,1
198,2005,7,1
198,2006,8,1
198,2007,9,1
200,2001,3,1
200,2002,4,1
200,2003,4,1
201,2002,3,1
201,2003,4,1
201,2004,5,1
201,2005,6,1
201,2006,7,1
201,2007,8,1
202,2002,3,1
203,2002,3,0
203,2003,4,0
203,2004,5,0
203,2005,6,0
203,2006,7,0
203,2007,8,0
205,2003,3,1
205,2004,4,1
205,2005,5,1
205,2006,6,1
205,2007,7,1
206,2003,3,1
207,2004,3,0
207,2005,4,0
207,2006,5,0
207,2007,6,0
209,2004,3,0
209,2005,4,0
209,2006,5,0
209,2007,6,0
210,2005,3,1
210,2006,4,1
210,2007,5,1
211,2005,3,1
211,2006,4,1
211,2007,5,1
212,2005,3,1
214,2007,3,1
215,2007,3,1
216,2007,3,1
218,2007,3,0
221,2001,12,1
223,2001,11,1
223,2002,12,1
224,2001,11,1
224,2002,12,1
225,2001,10,0
226,2001,10,1
226,2002,11,1
226,2003,12,1
228,2001,9,0
228,2002,10,0
228,2003,11,0
228,2004,12,0
229,2003,9,1
229,2004,9,1
230,2001,10,0
230,2002,11,0
230,2003,12,0
231,2001,8,1
231,2002,9,1
231,2003,10,1
231,2004,11,1
231,2005,12,1
232,2001,9,1
232,2002,10,1
232,2003,11,1
232,2004,12,1
234,2003,10,0
235,2001,7,1
235,2002,8,1
236,2002,8,1
236,2003,9,1
236,2004,10,1
236,2005,11,1
236,2006,12,1
237,2001,8,1
237,2002,9,1
237,2003,9,1
237,2004,10,1
237,2005,11,1
237,2006,12,1
238,2001,6,1
238,2005,10,1
238,2006,11,1
238,2007,12,1
239,2001,6,1
239,2002,7,1
239,2003,8,1
239,2004,9,1
239,2005,10,1
239,2006,11,1
239,2007,11,1
241,2002,7,1
241,2003,8,1
241,2004,9,1
241,2005,10,1
241,2006,11,1
242,2001,5,1
242,2002,6,1
242,2003,7,1
242,2004,8,1
242,2005,9,1
242,2006,10,1
242,2007,11,1
243,2001,5,1
243,2002,6,1
243,2003,7,1
244,2001,5,1
244,2002,6,1
244,2003,7,1
244,2004,8,1
244,2005,9,1
244,2006,10,1
244,2007,11,1
245,2001,6,0
245,2002,7,0
245,2003,8,0
247,2001,4,1
247,2002,5,1
247,2003,6,1
248,2001,4,1
248,2002,5,1
248,2003,6,1
248,2004,7,1
248,2005,8,1
248,2006,9,1
248,2007,10,1
249,2001,4,1
249,2002,5,1
249,2003,6,1
249,2004,7,1
249,2005,8,1
249,2006,9,1
249,2007,10,1
251,2001,3,1
252,2004,6,1
252,2005,7,1
252,2006,8,1
252,2007,9,1
253,2001,3,1
253,2002,4,1
253,2003,5,1
253,2004,6,1
253,2005,7,1
253,2006,8,1
253,2007,9,1
254,2001,3,1
254,2002,4,1
254,2004,6,1
254,2005,7,1
254,2006,8,1
254,2007,9,1
256,2002,3,1
256,2003,4,1
257,2002,3,1
257,2003,4,1
257,2004,5,1
257,2005,6,1
257,2006,7,1
257,2007,8,1
258,2007,8,0
259,2002,3,1
259,2003,4,1
259,2004,5,1
259,2005,6,1
260,2003,3,1
260,2004,4,1
260,2005,5,1
260,2006,6,1
260,2007,7,1
262,2004,3,0
262,2005,4,0
262,2006,5,0
262,2007,6,0
263,2004,3,1
263,2005,4,1
263,2006,5,1
264,2004,3,1
264,2005,4,1
264,2006,5,1
264,2007,6,1
265,2004,3,1
265,2005,4,1
265,2006,5,1
265,2007,6,1
266,2007,5,1
268,2005,3,1
268,2006,4,1
268,2007,5,1
269,2006,3,1
269,2007,4,1
270,2006,3,1
270,2007,4,1
272,2007,3,1
273,2007,3,1
276,2001,12,0
277,2001,10,1
277,2002,11,1
277,2003,12,1
278,2001,11,1
278,2002,11,1
278,2003,12,1
280,2001,10,1
280,2002,11,1
281,2001,10,1
281,2002,11,1
281,2003,12,1
282,2001,9,1
282,2003,11,1
282,2004,12,1
283,2001,8,0
283,2002,9,0
283,2003,10,0
283,2004,11,0
283,2005,12,0
284,2001,9,1
284,2002,10,1
284,2003,10,1
284,2004,11,1
284,2005,12,1
285,2001,8,1
285,2002,9,1
285,2003,10,1
285,2005,12,1
287,2001,8,0
287,2002,9,0
287,2003,10,0
287,2004,11,0
287,2005,12,0
288,2003,10,1
288,2004,10,1
288,2005,12,1
289,2001,7,1
289,2002,8,1
289,2003,9,1
289,2004,10,1
289,2005,11,1
289,2006,12,1
290,2002,9,0
291,2001,7,1
291,2003,9,1
291,2004,10,1
291,2005,10,1
293,2001,6,1
293,2002,7,1
293,2004,9,1
293,2006,9,1
293,2007,9,1
294,2001,5,1
294,2002,6,1
294,2003,7,1
294,2005,9,1
294,2006,10,1
295,2001,6,1
295,2002,7,1
295,2003,8,1
295,2004,9,1
295,2005,10,1
295,2006,11,1
295,2007,12,1
297,2001,5,1
297,2002,6,1
297,2003,7,1
297,2004,8,1
297,2005,9,1
298,2001,5,0
298,2002,6,0
298,2003,7,0
298,2005,9,0
298,2006,10,0
298,2007,11,0
299,2001,5,1
299,2002,6,1
299,2003,7,1
299,2004,8,1
300,2001,5,1
300,2002,6,1
300,2003,7,1
300,2004,8,1
300,2005,9,1
300,2006,10,1
300,2007,11,1
301,2006,10,1
301,2007,10,1
303,2004,7,1
303,2005,8,1
304,2001,4,1
304,2002,5,1
304,2003,6,1
304,2004,7,1
304,2005,8,1
304,2006,9,1
304,2007,10,1
305,2001,4,0
305,2002,5,0
305,2003,6,0
306,2001,3,1
306,2002,4,1
306,2003,5,1
306,2004,6,1
306,2005,7,1
306,2007,9,1
307,2001,3,1
309,2002,3,1
309,2003,4,1
309,2004,5,1
309,2005,6,1
309,2006,7,1
309,2007,8,1
310,2002,3,0
310,2003,4,0
310,2004,5,0
310,2005,6,0
310,2006,7,0
311,2002,3,0
311,2003,4,0
311,2004,5,0
311,2005,6,0
311,2006,7,0
311,2007,8,0
312,2002,3,1
312,2003,4,1
312,2004,5,1
312,2005,6,1
312,2006,7,1
312,2007,8,1
313,2003,3,1
313,2004,4,1
313,2005,5,1
313,2006,6,1
313,2007,7,1
315,2003,3,1
315,2004,4,1
315,2005,5,1
315,2006,6,1
315,2007,7,1
316,2003,3,1
316,2004,4,1
316,2005,5,1
316,2006,6,1
316,2007,7,1
317,2003,3,1
317,2004,4,1
317,2005,5,1
317,2006,6,1
317,2007,7,1
318,2004,3,0
318,2005,4,0
318,2006,5,0
318,2007,6,0
319,2004,3,1
319,2005,4,1
319,2006,5,1
319,2007,6,1
320,2004,3,0
320,2005,4,0
320,2006,5,0
320,2007,6,0
321,2005,3,1
321,2006,4,1
323,2005,3,1
323,2006,4,1
323,2007,5,1
324,2007,4,1
325,2006,3,0
326,2006,3,0
326,2007,4,0
327,2007,3,0
331,2001,11,1
332,2001,12,0
333,2001,11,0
333,2002,12,0
335,2002,11,1
335,2003,12,1
336,2001,11,0
336,2002,12,0
337,2001,10,1
337,2002,11,1
337,2003,12,1
338,2001,11,0
338,2002,12,0
339,2001,9,1
339,2002,10,1
339,2003,11,1
339,2004,12,1
340,2001,9,1
340,2002,10,1
340,2003,10,1
340,2004,10,1
341,2001,9,1
341,2002,10,1
341,2003,11,1
341,2004,12,1
342,2001,8,0
342,2002,9,0
343,2001,8,1
343,2002,9,1
343,2003,10,1
343,2004,10,1
343,2005,11,1
345,2001,6,1
345,2002,7,1
345,2003,8,1
345,2004,9,1
345,2005,10,1
345,2006,11,1
345,2007,12,1
346,2001,7,1
346,2002,8,1
346,2003,9,1
346,2004,10,1
346,2005,11,1
346,2006,12,1
347,2001,7,1
347,2002,8,1
347,2003,9,1
347,2004,10,1
347,2005,11,1
348,2001,7,1
348,2002,8,1
348,2003,9,1
348,2004,10,1
348,2005,11,1
348,2006,12,1
350,2001,6,1
350,2002,7,1
350,2003,8,1
350,2004,9,1
351,2001,6,1
351,2002,7,1
351,2006,10,1
351,2007,11,1
352,2001,6,1
352,2002,7,1
352,2005,10,1
352,2006,11,1
352,2007,12,1
354,2001,5,1
354,2002,6,1
354,2003,7,1
354,2004,8,1
354,2005,9,1
354,2007,10,1
355,2001,5,0
356,2001,5,1
356,2002,6,1
356,2003,7,1
356,2004,8,1
356,2005,9,1
356,2006,10,1
356,2007,10,1
357,2001,5,1
357,2002,6,1
357,2003,7,1
357,2004,8,1
357,2005,9,1
357,2006,10,1
357,2007,11,1
358,2001,4,0
358,2002,5,0
358,2003,6,0
358,2004,7,0
358,2005,8,0
358,2006,9,0
359,2002,5,1
359,2003,6,1
359,2004,7,1
359,2005,8,1
359,2006,9,1
359,2007,10,1
361,2006,9,1
361,2007,10,1
362,2001,3,1
362,2002,4,1
362,2003,5,1
362,2004,6,1
362,2005,7,1
362,2006,8,1
362,2007,9,1
363,2001,3,1
363,2002,4,1
363,2003,5,1
363,2004,6,1
363,2005,7,1
363,2006,8,1
363,2007,9,1
364,2001,3,1
364,2002,4,1
364,2003,5,1
364,2004,6,1
364,2005,7,1
364,2006,8,1
364,2007,9,1
365,2001,3,1
365,2002,4,1
365,2003,5,1
365,2004,6,1
365,2005,7,1
365,2006,8,1
365,2007,9,1
366,2002,3,0
366,2003,4,0
366,2004,5,0
366,2005,6,0
366,2006,7,0
366,2007,8,0
367,2002,3,1
367,2003,4,1
367,2004,5,1
367,2005,6,1
367,2006,7,1
367,2007,8,1
368,2003,3,1
368,2004,4,1
368,2005,5,1
368,2006,6,1
368,2007,8,1
370,2003,3,1
370,2004,4,1
370,2005,5,1
370,2006,6,1
370,2007,7,1
371,2003,3,1
371,2004,4,1
372,2003,3,1
372,2004,4,1
372,2005,5,1
372,2006,6,1
372,2007,7,1
373,2004,3,0
373,2005,4,0
373,2006,5,0
373,2007,6,0
374,2005,3,1
374,2006,4,1
374,2007,5,1
376,2005,3,1
376,2006,4,1
376,2007,5,1
377,2005,3,1
377,2006,4,1
377,2007,5,1
378,2005,3,0
378,2006,4,0
378,2007,5,0
380,2006,3,1
380,2007,4,1
381,2007,3,0
382,2007,3,1
383,2007,3,0
387,2001,12,1
388,2001,11,0
388,2002,12,0
389,2001,11,1
389,2002,12,1
390,2001,10,1
390,2002,11,1
390,2003,11,1
391,2001,10,1
391,2002,11,1
391,2003,12,1
393,2001,9,1
393,2002,10,1
394,2001,9,1
395,2001,9,1
396,2001,8,1
396,2002,9,1
396,2005,12,1
397,2001,8,0
397,2002,9,0
397,2003,10,0
397,2004,11,0
397,2005,12,0
398,2001,8,1
398,2002,9,1
398,2003,10,1
398,2004,11,1
398,2005,12,1
399,2001,8,1
399,2002,9,1
401,2001,7,1
401,2002,8,1
401,2003,9,1
401,2004,10,1
401,2005,11,1
401,2006,11,1
401,2007,12,1
402,2001,7,1
402,2002,8,1
402,2003,9,1
403,2005,10,0
403,2006,11,0
403,2007,12,0
405,2001,6,1
405,2002,7,1
405,2003,8,1
405,2004,9,1
406,2001,6,1
406,2002,7,1
406,2003,8,1
406,2004,9,1
406,2005,10,1
406,2006,11,1
406,2007,11,1
407,2001,5,1
407,2002,6,1
407,2003,7,1
407,2004,8,1
407,2005,9,1
407,2006,10,1
407,2007,11,1
408,2001,5,1
410,2004,7,1
410,2005,8,1
410,2006,9,1
410,2007,10,1
411,2001,3,1
412,2001,4,0
412,2002,5,0
412,2003,6,0
412,2004,7,0
412,2005,8,0
412,2006,9,0
412,2007,10,0
413,2001,4,1
413,2002,5,1
413,2003,6,1
414,2001,3,1
414,2002,4,1
414,2003,5,1
414,2004,6,1
414,2005,7,1
414,2006,8,1
414,2007,9,1
415,2001,3,0
415,2002,4,0
415,2003,5,0
415,2004,6,0
417,2001,3,1
417,2002,4,1
417,2003,5,1
417,2004,6,1
417,2005,7,1
417,2006,8,1
417,2007,9,1
418,2002,3,1
418,2003,4,1
418,2004,5,1
418,2005,6,1
418,2006,7,1
418,2007,8,1
419,2002,3,1
419,2003,4,1
419,2004,5,1
419,2005,6,1
419,2006,7,1
419,2007,8,1
421,2005,6,1
421,2006,7,1
421,2007,8,1
422,2003,3,1
422,2004,4,1
422,2005,5,1
422,2006,6,1
423,2007,8,0
424,2003,3,0
424,2004,4,0
424,2005,5,0
425,2005,5,1
425,2006,6,1
425,2007,7,1
426,2004,3,1
426,2005,4,1
426,2006,5,1
426,2007,6,1
428,2004,3,0
428,2005,4,0
428,2006,5,0
428,2007,6,0
429,2005,3,1
429,2006,4,1
430,2005,3,1
430,2006,4,1
430,2007,5,1
432,2006,3,0
432,2007,4,0
433,2006,3,1
433,2007,4,1
434,2006,3,1
434,2007,4,1
435,2007,3,1
439,2001,12,1
440,2001,12,1
441,2001,10,0
441,2002,11,0
443,2001,10,1
443,2002,11,1
443,2003,12,1
444,2001,10,1
445,2001,10,1
447,2001,10,0
447,2002,11,0
447,2003,12,0
448,2001,9,1
448,2002,10,1
448,2003,11,1
448,2004,12,1
449,2001,8,1
449,2002,9,1
450,2001,8,0
450,2002,9,0
450,2003,10,0
450,2004,11,0
450,2005,12,0
451,2001,8,1
451,2002,9,1
452,2001,8,1
452,2002,9,1
452,2003,10,1
452,2004,11,1
453,2001,7,0
453,2002,8,0
453,2003,9,0
455,2002,8,1
455,2003,9,1
455,2004,10,1
455,2005,11,1
455,2006,11,1
455,2007,11,1
456,2005,10,1
456,2006,11,1
456,2007,12,1
457,2002,7,0
457,2003,8,0
457,2004,9,0
457,2006,11,0
457,2007,12,0
458,2001,5,1
458,2002,6,1
458,2003,7,1
458,2005,9,1
458,2006,10,1
459,2001,6,1
459,2002,7,1
459,2003,8,1
459,2004,9,1
459,2005,10,1
459,2006,11,1
459,2007,12,1
461,2002,6,1
461,2003,7,1
461,2004,8,1
462,2001,5,1
462,2002,6,1
462,2003,7,1
462,2004,8,1
462,2005,9,1
462,2006,10,1
462,2007,11,1
463,2001,4,1
463,2002,5,1
463,2003,6,1
463,2004,7,1
463,2005,8,1
463,2006,9,1
463,2007,10,1
465,2007,8,1
466,2001,4,1
466,2002,5,1
466,2003,6,1
467,2001,4,1
467,2004,7,1
467,2005,8,1
467,2006,9,1
467,2007,10,1
468,2001,3,1
468,2002,4,1
468,2003,5,1
468,2004,6,1
468,2005,7,1
468,2006,8,1
468,2007,9,1
470,2001,3,1
470,2002,4,1
470,2003,5,1
470,2004,6,1
471,2004,6,1
471,2005,7,1
471,2006,8,1
471,2007,9,1
472,2002,3,1
472,2003,4,1
472,2004,5,1
472,2005,6,1
472,2006,7,1
472,2007,8,1
473,2002,3,1
473,2003,4,1
473,2004,5,1
473,2005,6,1
473,2006,7,1
473,2007,8,1
474,2002,3,1
474,2003,4,1
476,2003,3,1
476,2004,4,1
476,2005,5,1
476,2006,6,1
476,2007,7,1
477,2003,3,1
477,2004,4,1
477,2005,5,1
477,2006,6,1
477,2007,7,1
478,2003,3,1
478,2004,4,1
478,2005,5,1
478,2006,6,1
478,2007,7,1
480,2006,6,1
480,2007,7,1
481,2007,6,1
482,2005,3,0
483,2005,3,1
485,2006,3,1
485,2007,4,1
486,2006,3,0
486,2007,4,0
487,2006,3,1
487,2007,4,1
488,2007,3,1
489,2007,3,1
493,2001,12,1
495,2001,11,1
496,2001,10,0
497,2001,10,1
497,2002,11,1
497,2003,11,1
499,2001,10,1
499,2002,11,1
499,2003,12,1
500,2001,9,1
500,2002,10,1
500,2003,11,1
500,2004,12,1
501,2001,9,1
501,2002,10,1
501,2003,11,1
501,2004,12,1
502,2001,9,1
502,2002,10,1
502,2003,11,1
502,2004,12,1
503,2001,8,1
503,2002,9,1
503,2003,10,1
503,2004,11,1
503,2005,12,1
504,2001,8,1
504,2002,9,1
504,2003,10,1
504,2004,11,1
504,2005,12,1
505,2001,8,1
505,2002,9,1
505,2003,10,1
505,2004,11,1
505,2005,12,1
506,2001,8,0
506,2002,9,0
508,2004,10,1
508,2005,11,1
508,2006,12,1
509,2001,7,1
509,2002,8,1
509,2003,9,1
509,2004,10,1
509,2005,11,1
509,2006,11,1
510,2001,7,1
510,2002,8,1
510,2003,9,1
510,2004,10,1
510,2005,11,1
510,2006,12,1
511,2001,6,1
511,2002,7,1
511,2003,8,1
511,2004,9,1
511,2005,9,1
511,2006,9,1
513,2002,7,1
513,2003,8,1
513,2004,9,1
513,2005,10,1
513,2006,11,1
513,2007,11,1
514,2001,5,0
514,2002,6,0
514,2003,7,0
514,2004,8,0
514,2005,9,0
515,2002,6,1
515,2003,7,1
515,2004,8,1
515,2005,9,1
515,2006,10,1
515,2007,11,1
516,2001,5,1
516,2002,6,1
516,2003,7,1
516,2004,8,1
516,2005,9,1
516,2006,10,1
516,2007,11,1
517,2001,5,1
517,2002,6,1
517,2003,7,1
517,2004,8,1
517,2005,9,1
517,2006,10,1
517,2007,11,1
518,2001,4,1
518,2002,5,1
518,2003,6,1
519,2001,4,1
519,2002,5,1
519,2003,6,1
519,2004,7,1
520,2007,10,0
522,2004,7,1
522,2005,8,1
522,2006,9,1
522,2007,10,1
523,2001,3,1
523,2002,4,1
523,2003,5,1
523,2004,6,1
523,2005,7,1
523,2006,8,1
523,2007,9,1
524,2002,5,0
525,2001,3,1
525,2002,4,1
525,2003,5,1
525,2004,6,1
525,2005,7,1
525,2006,8,1
525,2007,9,1
526,2001,3,1
526,2004,6,1
526,2005,7,1
526,2006,8,1
526,2007,9,1
527,2004,5,1
529,2002,3,1
529,2003,4,1
530,2005,6,1
530,2006,7,1
530,2007,8,1
531,2003,3,1
531,2004,4,1
531,2005,5,1
532,2003,3,1
532,2004,4,1
532,2005,5,1
532,2006,6,1
532,2007,7,1
534,2004,3,1
534,2005,4,1
534,2006,5,1
534,2007,6,1
535,2004,3,1
535,2005,4,1
535,2006,5,1
535,2007,6,1
536,2004,3,1
536,2005,4,1
536,2006,5,1
536,2007,6,1
538,2005,3,1
538,2006,4,1
538,2007,5,1
539,2005,3,1
539,2006,4,1
539,2007,5,1
540,2006,3,1
540,2007,4,1
541,2006,3,1
543,2007,3,1
544,2007,3,0
545,2007,3,1
547,2001,12,1
548,2001,12,1
549,2001,11,1
549,2002,11,1
550,2001,10,1
550,2002,11,1
550,2003,12,1
552,2001,10,1
552,2002,11,1
552,2003,12,1
553,2001,10,1
553,2002,11,1
553,2003,12,1
554,2001,10,1
554,2002,11,1
554,2003,12,1
555,2001,9,1
555,2002,10,1
555,2003,11,1
555,2004,12,1
